ФИО;Паспортные данные;СНИЛС;Симптомы;Выбор врача;Дата посещения врача;Анализы;Дата получения анализов;Стоимость анализов;Карта оплаты
Степанов Павел Никитич;0322 417780;470-703-850 79;покалывание, мигрень;невролог;2025-12-09T17:30+03:00;узи сосудов головы и шеи;2025-12-11T11:30+03:00;3500 руб.;5486 7378 3613 4071
Белова Надежда Никитична;MC3553581;512-957-860 08;пятна на коже, сыпь;дерматолог;2025-12-11T15:45+03:00;анализ крови на иммуноглобулин Е, биопсия кожи;2025-12-15T17:00+03:00;3400 руб.;4276 8362 0036 3857
Власов Илья Евгеньевич;3605 148412;570-900-163 72;легкая тошнота, общая слабость;терапевт;2025-12-08T16:30+03:00;рентген грудной клетки, анализ крови на сахар;2025-12-11T09:30+03:00;4150 руб.;5101 2697 9849 1492
Кузнецова София Юрьевна;PP6261044;049-326-643 75;семейные конфликты, проблемы в отношениях, стресс;психотерапевт;2025-11-24T10:15+03:00;психологическое тестирование;2025-11-26T09:00+03:00;1750 руб.;2200 0300 1276 2234
Кравцова Ирина Владимировна;MC3711456;567-871-888 75;отек кожи;дерматолог;2025-12-08T17:45+03:00;аллергопробы;2025-12-11T11:45+03:00;1750 руб.;2200 1461 3495 6478
Баранов Изяслав Борисович;5221 537757;150-618-538 50;незначительное повышение температуры, легкая тошнота, общее недомогание;диетолог;2025-12-04T13:45+03:00;общий анализ крови;2025-12-05T13:45+03:00;800 руб.;2200 0861 0809 2613
Гусева Жанна Александровна;7722 758725;437-447-012 84;незначительное повышение температуры, общее недомогание;пародонтолог;2025-12-15T16:45+03:00;общий анализ мочи, общий анализ крови;2025-12-18T10:45+03:00;1400 руб.;2200 0975 1247 6409
Орлова Ульяна Борисовна;2307 576061;271-721-733 66;колики, нарушение развития, повышенная температура у детей;педиатр;2025-12-01T09:30+03:00;анализ крови на детские инфекции;2025-12-03T09:30+03:00;1650 руб.;2200 0755 6057 1214
Васильева Полина Васильевна;3422 953746;629-251-881 13;общая слабость, легкая тошнота;терапевт;2025-11-20T11:15+03:00;рентген грудной клетки;2025-11-24T13:15+03:00;2500 руб.;2200 0957 0170 3633
Белова Надежда Никитична;MC3553581;512-957-860 08;частое мочеиспускание;нефролог;2025-11-21T11:00+03:00;урография, узи почек;2025-11-24T17:00+03:00;5250 руб.;2200 0313 4909 6197
Лукашенко Валентин Никитич;BM1443752;099-284-524 24;рвота, озноб, инфекционный кашель;инфекционист;2025-11-24T17:30+03:00;бакпосев крови;2025-11-26T16:30+03:00;1650 руб.;5486 9999 1537 0386
Белова Надежда Никитична;MC3553581;512-957-860 08;обморок, жжение в конечностях;невролог;2025-12-15T15:45+03:00;реоэнцефалография, мрт головного мозга;2025-12-18T09:00+03:00;13250 руб.;2200 0755 6574 9021
Козлова Злата Дмитриевна;0205 278362;196-556-981 44;двоение в глазах, боль в глазах, покраснение глаз;офтальмолог;2025-11-20T11:30+03:00;измерение внутриглазного давления, исследование глазного дна;2025-11-24T09:00+03:00;3500 руб.;4276 8358 4907 3422
Гусев Евгений Николаевич;N82920556;872-874-315 55;легкая тошнота, общее недомогание, головная боль;неонатолог;2025-12-08T15:45+03:00;общий анализ мочи, общий анализ крови;2025-12-11T09:45+03:00;1400 руб.;4279 0168 0570 2372
Павловсская Диана Витальевна;5421 415689;841-962-332 18;приступы удушья;пульмонолог;2025-12-12T13:15+03:00;бронхоскопия, анализ крови на альфа-1-антитрипсин;2025-12-15T09:00+03:00;3400 руб.;5469 3830 6629 3153
Громова Ирина Олеговна;HB6557278;169-409-749 16;незначительное повышение температуры;трихолог;2025-12-15T11:45+03:00;общий анализ мочи, общий анализ крови;2025-12-17T13:45+03:00;1400 руб.;2200 0323 2723 7175
Филиппова Диана Витальевна;BM9961107;069-901-627 97;легкая тошнота;терапевт;2025-11-21T15:30+03:00;флюорография, рентген грудной клетки;2025-11-24T09:00+03:00;3700 руб.;5469 3877 9541 7678
Дмитриев Ярослав Иванович;PP7816395;041-776-561 67;выпадение волос, увеличение щитовидной железы, дрожание рук;эндокринолог;2025-12-15T12:45+03:00;анализ крови на Т3;2025-12-18T09:00+03:00;1650 руб.;4475 2066 4315 8901
Медведев Валентин Виталиевич;7722 027085;070-260-869 42;легкая тошнота, головная боль, общее недомогание;кардиохирург;2025-12-16T17:15+03:00;общий анализ мочи, общий анализ крови;2025-12-18T09:00+03:00;1400 руб.;5100 0261 2396 1214
Гусев Макар Борисович;5425 674838;182-070-669 60;осиплость голоса;лор;2025-12-08T11:15+03:00;мазок из носа, анализ крови на стрептококк;2025-12-10T17:00+03:00;3300 руб.;2200 0449 7646 1360
Новикова Татьяна Федоровна;4711 281783;526-075-699 01;незначительное повышение температуры, легкая тошнота, общая слабость;пластический хирург;2025-11-27T14:00+03:00;общий анализ мочи, общий анализ крови;2025-12-01T17:00+03:00;1400 руб.;4475 2035 5707 7318
Алексеев Иван Игоревич;5218 550291;993-844-404 72;головная боль, общая слабость, легкая тошнота;ортодонт;2025-12-01T10:30+03:00;общий анализ крови, общий анализ мочи;2025-12-04T10:30+03:00;1400 руб.;5100 4368 4995 1540
Соколова Дарья Леонидовна;5925 630971;097-797-802 60;незначительное повышение температуры, общее недомогание, головная боль;маммолог;2025-12-08T13:30+03:00;общий анализ мочи, общий анализ крови;2025-12-09T14:30+03:00;1400 руб.;5100 0364 0163 2957
